Stt,Tên chức năng chính,Tên chức năng con,Mobile,Web,C1 nhập,W1,C2 xuất,W2,C3 Truy vấn,W3,C4 Bảng liên quan,W4,C5 Giao tiếp ngoài,W5
1,Sign In Use Case,Sign In (Email/Password),x,x,1,3,0,0,0,0,1,0,0,0
2,Sign In Use Case,Sign In (OAuth - Google),x,x,1,3,0,0,0,0,1,0,0,0
3,Sign In Use Case,Reset Password,x,x,0,0,0,0,0,0,0,0,0,0
4,Sign In Use Case,Log out,x,x,1,3,0,0,0,0,1,0,0,0
5,Adjust User Profile Use Case,Adjust User Profile,x,x,0,0,0,0,1,3,1,7,0,0
6,Adjust User Profile Use Case,Create User Profile (Sign up),x,x,1,3,0,0,0,0,1,7,0,0
7,Adjust User Profile Use Case,"Update User Profile (Avatar, Bio, Cover Photo)",x,x,1,3,0,0,0,0,1,7,0,0
8,Adjust User Profile Use Case,Delete User Profile,x,x,1,3,0,0,0,0,1,7,0,0
9,Adjust User Profile Use Case,Search User Profile,x,x,0,0,0,0,1,3,1,7,0,0
10,Adjust User Profile Use Case,View Other User Profile,x,x,0,0,0,0,1,3,1,7,0,0
11,Adjust User Profile Use Case,Manage privacy settings,x,x,1,3,0,0,0,0,1,7,0,0
12,Adjust Post Use Case,Adjust Post,x,x,0,0,0,0,1,3,2,7,0,0
13,Adjust Post Use Case,Create Post,x,x,1,3,0,0,0,0,1,7,1,5
14,Adjust Post Use Case,Update Post,x,x,1,3,0,0,0,0,1,7,0,0
15,Adjust Post Use Case,Delete Post,x,x,1,3,0,0,0,0,1,7,0,0
16,Adjust Post Use Case,Search Post,x,x,0,0,0,0,1,3,1,7,1,5
17,Adjust Post Use Case,View Post NewsFeed,x,x,0,0,0,0,1,3,2,7,0,0
18,Adjust Post Use Case,View Explore Feed,x,x,0,0,0,0,1,3,2,7,0,0
19,Adjust Post Use Case,Share Post,x,x,0,0,0,0,0,0,0,0,0,0
20,Adjust Post Use Case,Hide Post,x,x,1,3,0,0,0,0,1,7,0,0
21,Adjust Post Use Case,Restore Post,x,x,1,3,0,0,0,0,1,7,0,0
22,Adjust Post Use Case,Archive Post,x,x,1,3,0,0,0,0,1,7,0,0
23,Adjust Post Use Case,Unarchived Post,x,x,1,3,0,0,0,0,1,7,0,0
24,Adjust Post Use Case,React to Post,x,x,1,3,0,0,0,0,1,7,0,0
25,Adjust Comment Use Case,Adjust Comment,x,x,0,0,0,0,1,3,1,7,0,0
26,Adjust Comment Use Case,Create Comment,x,x,1,3,0,0,0,0,1,7,0,0
27,Adjust Comment Use Case,Reply to Comment,x,x,1,3,0,0,0,0,1,7,0,0
28,Adjust Comment Use Case,Update Comment,x,x,1,3,0,0,0,0,1,7,0,0
29,Adjust Comment Use Case,Delete Comment,x,x,1,3,0,0,0,0,1,7,0,0
30,Adjust Collection Use Case,Adjust Collection,x,x,0,0,0,0,1,3,1,7,0,0
