Stt,Tên chức năng chính,Tên chức năng con,Mobile,Web,C1 (EI),W1 (Input),C2 (EO),W2 (Output),C3 (EQ),W3 (Inquiry),C4 (ILF),W4 (File),C5 (EIF),W5 (Interface)
1,User Authentication,Sign In,x,x,1,4,1,4,1,3,1,10,0,0
2,User Authentication,Sign Up,x,x,1,6,1,5,0,0,1,10,0,0
3,User Authentication,Forgot Password,x,x,1,4,1,4,0,0,0,0,1,5
4,User Authentication,Change Password,x,x,1,4,1,4,0,0,1,10,0,0
5,User Profile,View Profile,x,x,0,0,1,5,1,4,1,10,1,5
6,User Profile,Update Profile,x,x,1,6,1,5,0,0,1,15,1,7
7,User Profile,Search Profiles,x,x,1,4,1,5,1,4,1,10,0,0
8,Post Management,View Newsfeed (Algo),x,x,0,0,1,7,1,6,2,15,0,0
9,Post Management,View Explore (Trending),x,x,0,0,1,7,1,6,2,15,0,0
10,Post Management,Create Post (Media),x,x,1,6,1,5,0,0,1,15,1,7
11,Post Management,Update Post,x,x,1,4,1,5,0,0,1,10,0,0
12,Post Management,Delete Post,x,x,1,3,1,4,0,0,1,10,0,0
13,Post Management,Search AI/Semantic,x,x,1,6,1,7,1,6,1,15,1,10
14,Post Management,Share Post,x,x,1,4,1,4,0,0,1,10,0,0
15,Post Management,React to Post,x,x,1,4,0,0,0,0,1,10,0,0
16,Comment Management,Create Comment,x,x,1,4,1,4,0,0,1,10,0,0
17,Comment Management,Reply to Comment,x,x,1,4,1,4,0,0,1,10,0,0
18,Comment Management,View Comments,x,x,0,0,1,5,1,4,1,10,0,0
19,Collection Management,Create Collection,x,x,1,4,1,4,0,0,1,10,1,5
20,Collection Management,Add to Collection,x,x,1,3,1,4,0,0,1,10,0,0
21,Friend Management,Follow/Unfollow,x,x,1,3,0,0,0,0,1,10,0,0
22,Friend Management,View Connections,x,x,0,0,1,5,1,4,1,10,0,0
23,Chat System,Send Message (RT),x,x,1,6,1,5,0,0,1,15,1,7
24,Chat System,View Inbox,x,x,0,0,1,7,1,4,1,15,0,0
25,Chat System,Create Group Chat,x,x,1,4,1,5,0,0,1,10,0,0
26,Notification System,View Notifications,x,x,0,0,1,5,1,4,1,10,0,0
27,Professional Tools,View Dashboard,x,x,0,0,1,7,1,6,1,15,0,0
28,Professional Tools,Manage Ads,x,x,1,6,1,7,0,0,1,15,1,7
29,Community Groups,Create Group,x,x,1,4,1,4,0,0,1,10,0,0
30,Community Groups,Moderate Content,x,x,1,4,1,5,0,0,1,10,0,0
31,System Health,View Real-time Metrics,x,x,0,0,1,7,1,6,0,0,1,10
32,System Health,View Logs,x,x,0,0,1,7,1,4,1,15,1,7

,TỔNG CỘNG (Delta),,,,22,97,30,156,13,61,32,350,10,70

,THAM SỐ HIỆU CHỈNH (Fi),,,,Sum Fi,57,VAF,1.22
,KẾT QUẢ CUỐI CÙNG (FP),,,,Unadjusted,764,Function Points,932.08
